Month,KPI,Type,Unit,S40201,S40202,S40203,S40204,S40205,S40206,S40207,S40301,S40302,S40303,S40304,S40401,S40402,S40403,S40411,S40412,S40413,S40414,S40501,S40502,S40503,S40504,center,east,north,south,nc
JAN,A,Units FTP,PC,4645,2466,4304,5037,4846,4412,3769,6011,7020,5140,3118,5200,15392,4619,11799,11886,11226,5828,8015,10716,10253,9102,25211,40739,21289,38086,29479
FEB,A,Units FTP,PC,4349,2870,4406,4920,5012,4418,4109,7054,7078,6046,4026,6540,14737,4808,10402,16024,7755,5711,7982,10791,9686,8818,26085,39892,24204,37277,30084
MAR,A,Units FTP,PC,4154,2409,4468,4943,5289,5065,4383,3887,6528,5696,3144,6579,11611,3701,7915,10613,10054,5510,9713,9604,13048,8717,21891,34092,19255,41082,30711
