Month,KPI,Type,Unit,S40201,S40202,S40203,S40204,S40205,S40206,S40207,S40301,S40302,S40303,S40304,S40401,S40402,S40403,S40411,S40412,S40413,S40414,S40501,S40502,S40503,S40504,center,east,north,south,nc
JAN,A,Units FTP,PC,4433,2171,3927,4041,4623,4077,3198,5718,5935,5110,3377,5820,25250,4209,16042,12640,9778,4839,7121,10377,9009,8414,35279,43299,20140,34921,26470
FEB,A,Units FTP,PC,4452,2266,3962,4975,5128,3633,4124,4637,7317,3899,3108,3915,14745,3148,12285,16289,7544,5889,7800,9233,8341,8810,21808,42007,18961,34184,28540
MAR,A,Units FTP,PC,4830,3387,5056,5836,7358,5259,5223,4484,5621,3218,2933,6004,10425,3399,11082,12967,8437,4840,7187,8528,8143,9393,19828,37326,16256,33251,36949
